image,width,height,pixels,sigma_d,sigma_r,gpu_warmup_runs,gpu_measured_runs,"CPU time, ms","GPU setup + H2D, ms","GPU kernel avg, ms","GPU kernel min, ms","GPU kernel max, ms","GPU kernel std, ms","GPU D2H, ms","GPU estimated total, ms",kernel speedup,estimated total speedup,max abs diff,mean abs diff
image_1,1600,2400,3840000,1.0,5.0,3,20,513.207928,187.671795,0.519722,0.518176,0.524256,0.001362,0.959567,189.151084,987.4662377193962,2.7132169541254125,1,2e-06
image_1,1600,2400,3840000,1.0,15.0,3,20,511.361093,152.791695,0.344342,0.342016,0.362496,0.004419,0.97024,154.106277,1485.0384007759728,3.318236628349668,1,1e-06
image_1,1600,2400,3840000,1.0,30.0,3,20,770.928335,164.44069,0.49617,0.495264,0.498432,0.000852,1.019373,165.956233,1553.758459802084,4.645371379332285,1,1e-06
image_1,1600,2400,3840000,1.0,60.0,3,20,833.798477,173.22377,0.524845,0.521184,0.528192,0.001564,1.038907,174.787522,1588.6566071887892,4.770354699576323,1,1e-06
image_1,1600,2400,3840000,1.0,120.0,3,20,511.516875,166.797294,0.452506,0.450912,0.454656,0.000872,1.031533,168.281333,1130.409044299965,3.0396530968767643,1,0.0
image_2,736,477,351072,1.0,5.0,3,20,72.81685,180.920227,0.056091,0.055296,0.057696,0.000748,0.134509,181.110827,1298.1913319427358,0.4020568577051442,1,3e-06
image_2,736,477,351072,1.0,15.0,3,20,72.228794,162.12145,0.036403,0.034816,0.037248,0.000705,0.132043,162.289896,1984.1439991209515,0.445060325875124,1,3e-06
image_2,736,477,351072,1.0,30.0,3,20,71.132869,160.257188,0.032443,0.031168,0.03328,0.000509,0.142129,160.43176,2192.549055266159,0.4433839596349251,0,0.0
image_2,736,477,351072,1.0,60.0,3,20,72.523938,166.184028,0.033221,0.032384,0.035328,0.000818,0.136614,166.353863,2183.0751030974384,0.4359618507927285,0,0.0
image_2,736,477,351072,1.0,120.0,3,20,45.076712,131.661563,0.031333,0.03072,0.032608,0.000704,0.123805,131.816701,1438.6337726997097,0.3419651050135142,1,3e-06
